Regex,Name
(Adriatique|@adriatiquemusic),Adriatique
(Lee\sBurridge|Burridge|@leebu),Lee Burridge
(the\sGarden|@thegardentwins),the Garden
(Agoria|@agoriamusic),Agoria
(Hop\sAlong|@hopalongtheband),Hop Along
(shame|@shamebanduk),shame
(Superorganism|@SPRORGNSM),Superorganism
(serpentwithfeet|@serpentwithfeet),serpentwithfeet
(Ookay|@Ookay),Ookay
(Steady\sHoliday|@steadyholiday),Steady Holiday
(Javiera\sMena|@javieramena),Javiera Mena
(the\sMessthetics|Messthetics),the Messthetics
(the\sRed\sPears|Red\sPears|@TheRedPears),the Red Pears
(Heidi\sLawden|@DJHeidiLawden),Heidi Lawden
(Ariana\sGrande|Ari|@arianagrande),Ariana Grande
(Khalid|@thegreatkhalid),Khalid
(Zedd|@zedd),Zedd
(Gesaffelstein),Gesaffelstein
(Bad\sBunny),Bad Bunny
(Dillon\sFrancis|@DillonFrancis),Dillon Francis
(CHVRCHES|@CHVRCHES),CHVRCHES
(YG|@ygent_official),YG
(Cirez\sD|@ericprydz),Cirez D
(Playboi\sCarti|Playboi|@playboicarti),Playboi Carti
(H.E.R.|@HERMusicx),H.E.R.
(Blood\sOrange),Blood Orange
(Pusha\sT|@PUSHA_T),Pusha T
(Unknown\sMortal\sOrchestra|UMO|@UMO),Unknown Mortal Orchestra
(Kaytranada|@kaytranada),Kaytranada
(Gucci\sGang|gucci\smane|lil\spump),Gucci Gang
(Jon\sHopkins|@Jon_Hopkins_),Jon Hopkins
(SOFI\sTUKKER|@sofitukker),SOFI TUKKER
(Burna\sBoy|Burna|@burnaboy),Burna Boy
(Lizzo|@lizzo),Lizzo
(Dermot\sKennedy|@dermotkennedy),Dermot Kennedy
(SOB\sX\sRBE|@imsteelo),SOB X RBE
(Clairo|@clairo),Clairo
(NGHTMRE|@nghtmre),NGHTMRE
(Perfume|@perfume_um),Perfume
(boy\spablo|@soypablo777),boy pablo
(Guy\sGerber|@guygerber),Guy Gerber
(HYUKOH|@hyukohh),HYUKOH
(Emily\sKing|@Emilykingmusic),Emily King
(Dennis\sLloyd|@dennislloyd_),Dennis Lloyd
(Alice\sMerton|@alicemerton),Alice Merton
(Shallou|@shalloumusic),Shallou
(070\sShake|@070shake),070 Shake
(Soccer\sMommy|@sopharela),Soccer Mommy
(Rico\sNasty|@rico_nastyy),Rico Nasty
(Cola\sBoyy|@colaboyy),Cola Boyy
(Wallows|@wallowsmusic),Wallows
(Mansionair|@mansionair),Mansionair
(Nocturnal\sSunshine|Maya\sJane\sColes|@mjcofficial),Nocturnal Sunshine
